School_ID,School,Carnegie Classification 2018,Religious Affiliation,12-Month FTE Enrollment,Academic Support Expenses Per FTE (FASB),Core Expenses (FASB),Endowment Asset Value,Institutional Support Expenses Per FTE (FASB),Instruction Expenses Per FTE (FASB),Student Services Expenses Per FTE (FASB)
167996,Stonehill College,21,30,2456.0,2937.0,80768376.0,290568570.0,5297.0,15060.0,8670.0
168227,Wentworth Institute of Technology,19,-2,3968.0,1285.0,110460983.0,149625584.0,6557.0,14210.0,5786.0
168254,Western New England University,17,-2,3219.0,4255.0,91856377.0,62127725.0,6154.0,12348.0,5779.0
168281,Wheaton College (Massachusetts),21,-2,1724.0,2817.0,73984177.0,256218480.0,12638.0,17099.0,10149.0
168528,Adrian College,22,71,1727.0,714.0,44166981.0,50551776.0,9976.0,8167.0,6717.0
168546,Albion College,21,-2,1621.0,1384.0,55481279.0,149894316.0,7794.0,15244.0,9495.0
168786,Aquinas College,21,30,1092.0,2187.0,31831423.0,43962214.0,6930.0,9338.0,10070.0
169080,Calvin University,20,35,3170.0,3327.0,100852000.0,254434000.0,5712.0,12705.0,6633.0
169442,College for Creative Studies,30,-2,1263.0,3853.0,48926793.0,81924503.0,12564.0,15029.0,6449.0
170037,Cornerstone University,19,42,1574.0,2521.0,30532002.0,16507899.0,4418.0,5782.0,6315.0
170091,Great Lakes Christian College,24,48,127.0,3232.0,3605654.0,1004455.0,8780.0,4888.0,11490.0
170301,Hope College,21,49,3162.0,3697.0,99472000.0,296649000.0,5217.0,12457.0,6321.0
170532,Kalamazoo College,21,-2,1415.0,2207.0,58110085.0,286769775.0,9989.0,18858.0,9699.0
170675,Lawrence Technological University,18,-2,2449.0,2587.0,90735875.0,51202540.0,10916.0,14337.0,9005.0
171492,Northwood University,29,-2,2158.0,336.0,43023067.0,105487250.0,7018.0,7175.0,5409.0
171599,The University of Olivet,22,76,817.0,980.0,21318842.0,24884692.0,4188.0,9812.0,9843.0
172264,Siena Heights University,20,30,1505.0,2224.0,34666860.0,13293717.0,5158.0,6834.0,8123.0
172334,Spring Arbor University,18,64,2261.0,1461.0,39159563.0,26389581.0,3342.0,6140.0,6026.0
173045,Augsburg University,18,39,3230.0,1603.0,73832499.0,70765390.0,3465.0,11487.0,5569.0
173142,Bethany Lutheran College,21,99,743.0,1094.0,19926543.0,49458925.0,5468.0,12547.0,7639.0
173300,Concordia College at Moorhead,21,39,1895.0,3142.0,55219676.0,171705611.0,7342.0,11974.0,6479.0
173452,Martin Luther College,32,33,780.0,2283.0,19616976.0,24011960.0,4881.0,11211.0,6774.0
173665,Hamline University,18,71,2412.0,3044.0,61401677.0,126516616.0,5000.0,9894.0,6765.0
174127,Minneapolis College of Art and Design,30,-2,760.0,1451.0,24969065.0,50555286.0,5759.0,18853.0,6246.0
174491,University of Northwestern-St Paul,19,79,2405.0,1759.0,50583913.0,22112282.0,5506.0,8491.0,5277.0
174525,Oak Hills Christian College,24,42,89.0,1214.0,3317990.0,841149.0,10050.0,6665.0,9187.0
174747,College of Saint Benedict,21,30,1536.0,4627.0,52052510.0,118034432.0,8035.0,14852.0,6374.0
174792,Saint Johns University,21,30,1645.0,6188.0,61656268.0,276143788.0,7900.0,15032.0,7078.0
174844,St Olaf College,21,39,3030.0,4653.0,115429147.0,711741089.0,5471.0,18581.0,8619.0
175980,Millsaps College,21,71,729.0,3447.0,29295005.0,103359546.0,10320.0,15750.0,10669.0
176628,Avila University,19,30,1219.0,488.0,25352832.0,15093619.0,6190.0,8590.0,5530.0
176910,Central Christian College of the Bible,24,48,161.0,3372.0,6337564.0,2090766.0,16582.0,8896.0,6205.0
176947,Central Methodist University-College of Liberal Arts and Sciences,22,71,1106.0,1203.0,26426427.0,64408659.0,3638.0,12829.0,5628.0
177038,Cleveland University-Kansas City,26,-2,652.0,4849.0,19823657.0,19250069.0,6331.0,11283.0,6836.0
177126,Covenant Theological Seminary,24,97,342.0,1859.0,8496709.0,43981126.0,6218.0,11153.0,5614.0
177144,Culver-Stockton College,22,61,945.0,368.0,20678217.0,38248482.0,6217.0,5030.0,5265.0
177214,Drury University,19,61,1564.0,0.0,47942961.0,84107752.0,11825.0,11577.0,7230.0
177418,Fontbonne University,18,30,839.0,3667.0,25479893.0,10570311.0,6702.0,11348.0,5672.0
178369,Missouri Valley College,22,66,1361.0,1015.0,19010489.0,11820604.0,2393.0,4923.0,5637.0
179955,William Jewell College,22,-2,865.0,2836.0,33097139.0,65347758.0,11278.0,13368.0,10780.0
180106,Carroll College,22,30,1110.0,2805.0,33605362.0,70468918.0,7193.0,10866.0,8405.0
180258,University of Providence,22,30,708.0,1330.0,22836738.0,19477568.0,12105.0,9512.0,9307.0
180595,Rocky Mountain College,20,76,1038.0,2235.0,26133776.0,40587952.0,4307.0,10868.0,7767.0
180984,Concordia University-Nebraska,18,68,1775.0,1580.0,34415541.0,70806731.0,5331.0,5687.0,6791.0
181020,Doane University,21,-2,1466.0,4579.0,43016446.0,124564584.0,4184.0,12925.0,7654.0
181127,Hastings College,22,66,953.0,1545.0,26590736.0,103044666.0,8094.0,9165.0,8872.0
